run_id,batch_number,timestamp,question_id,question,expected_domain,actual_domain,status,reason,latency_seconds,input_tokens,output_tokens,generated_sql,error_message
424eb3,1,2025-11-26 15:27:22.767889+00:00,1,What is GNS4 trend for last 4 months?,Collections,COLLECTIONS,ERROR,SQL Error: 400 Name GNS4 not found inside,0.85,0,0,"WITH MaxDate AS (
  SELECT
    MAX(BUSINESS_DATE) AS max_business_date
  FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
)
SELECT
  DATE_TRUNC(t1.BUSINESS_DATE, MONTH) AS month,
  ROUND(
    SAFE_DIVIDE(
      COUNT(DISTINCT CASE WHEN t1.GNS4 = 'Y' THEN t1.AGREEMENTNO END),
      COUNT(DISTINCT t1.AGREEMENTNO)
    ) * 100,
    2
  ) AS gns4_percentage
FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2` AS t1
CROSS JOIN MaxDate
WHERE
  t1.BUSINESS_DATE >= DATE_SUB(MaxDate.max_business_date, INTERVAL '4' MONTH)
  AND t1.BUSINESS_DATE <= MaxDate.max_business_date
  AND t1.MOB_ON_INSTL_START_DATE = 4
  AND t1.SOM_NPASTAGEID = 'REGULAR'
  AND t1.SOM_POS > 0
GROUP BY
  1
ORDER BY
  1 DESC","400 Name GNS4 not found inside t1 at [10:35]; reason: invalidQuery, location: query, message: Name GNS4 not found inside t1 at [10:35]

Location: asia-south1
Job ID: bbc94c95-010c-43a0-b222-57ffd998bd2e
"
424eb3,1,2025-11-26 15:27:44.403492+00:00,2,Give me top 10 dealer names that have the highest NNS3 percentage and cases are more than 30 per dealer? Show the number of cases.,Collections,COLLECTIONS,PASS,"LLM: The candidate data is a perfect match to the reference data. Although the column headers for dealer name and case count are different, the values in each row are identical. The sort order is also correct, with the minor difference in the order of the last two rows being acceptable as they are tied on the sorting metric.",0.89,0,0,"WITH MaxDate AS (
  SELECT
    MAX(BUSINESS_DATE) AS max_dt
  FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
)
SELECT
  t2.SUPPLIERNAME,
  COUNT(DISTINCT t2.AGREEMENTNO) AS total_mob3_cases,
  ROUND(
    SAFE_DIVIDE(
      COUNT(DISTINCT CASE WHEN t2.NNS3 = 'Y' THEN t2.AGREEMENTNO END),
      COUNT(DISTINCT t2.AGREEMENTNO)
    ) * 100,
    2
  ) AS nns3_percentage
FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2` AS t2
CROSS JOIN MaxDate
WHERE
  t2.BUSINESS_DATE = MaxDate.max_dt
  AND t2.MOB_ON_INSTL_START_DATE = 3
  AND t2.SOM_NPASTAGEID = 'REGULAR'
  AND t2.SOM_POS > 0
GROUP BY
  t2.SUPPLIERNAME
HAVING
  COUNT(DISTINCT t2.AGREEMENTNO) > 30
ORDER BY
  nns3_percentage DESC
LIMIT 10",
424eb3,1,2025-11-26 15:28:05.924957+00:00,3,Show me the top 10 dealers where banking model has highest no hit percentage? application count should be greater than 30 and what is the approval percentage?,Sourcing,SOURCING,FAIL,"LLM: The candidate data returned a completely different set of dealers than the reference data. While the structure of the response is correct (a list of 10 dealers sorted by a percentage), the actual data values for dealers, no-hit percentages, and approval percentages are incorrect and do not match the ground truth. [Data_Mismatch]",0.89,0,0,"SELECT
  Dealer_Name_Supplier__c,
  COUNT(*) AS total_applications,
  COUNT(
    CASE
      WHEN FINAL_APPLICANT_SCORECARD_MODEL_BRE LIKE '%_BKH%'
      OR FINAL_APPLICANT_SCORECARD_MODEL_BRE LIKE '%_BKR%'
      THEN 1
    END
  ) AS banking_hits,
  COUNT(*) - COUNT(
    CASE
      WHEN FINAL_APPLICANT_SCORECARD_MODEL_BRE LIKE '%_BKH%'
      OR FINAL_APPLICANT_SCORECARD_MODEL_BRE LIKE '%_BKR%'
      THEN 1
    END
  ) AS banking_no_hits,
  ROUND(
    SAFE_DIVIDE(
      (
        COUNT(*) - COUNT(
          CASE
            WHEN FINAL_APPLICANT_SCORECARD_MODEL_BRE LIKE '%_BKH%'
            OR FINAL_APPLICANT_SCORECARD_MODEL_BRE LIKE '%_BKR%'
            THEN 1
          END
        )
      ),
      COUNT(*)
    ) * 100,
    2
  ) AS banking_no_hit_percentage_pct,
  COUNT(CASE WHEN BRE_Sanction_Result__c IN ('ACCEPT', 'Sanction') THEN 1 END) AS approved_applications,
  ROUND(
    SAFE_DIVIDE(
      COUNT(CASE WHEN BRE_Sanction_Result__c IN ('ACCEPT', 'Sanction') THEN 1 END),
      COUNT(*)
    ) * 100,
    2
  ) AS approval_percentage_pct
FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.Sourcing_Data_11_Nov_25`
WHERE
  NOT Dealer_Name_Supplier__c IS NULL
GROUP BY
  Dealer_Name_Supplier__c
HAVING
  total_applications > 30
ORDER BY
  banking_no_hit_percentage_pct DESC
LIMIT 10",
424eb3,1,2025-11-26 15:28:20.909868+00:00,4,SHow me the bounce rate on 0 dpd for Assam?,Collections,COLLECTIONS,PASS,"LLM: The candidate data correctly identifies the bounce rate for Assam as 21.61%, which matches the reference data. While the candidate output is a subset of the reference data columns, it directly and accurately answers the user's specific question.",0.73,0,0,"WITH MaxDate AS (
  SELECT
    MAX(BUSINESS_DATE) AS max_business_date
  FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
)
SELECT
  t.STATE,
  ROUND(
    SAFE_DIVIDE(
      COUNT(DISTINCT CASE WHEN t.Bounce_Flag = 'Y' THEN t.AGREEMENTNO END),
      COUNT(DISTINCT t.AGREEMENTNO)
    ) * 100,
    2
  ) AS bounce_rate_on_0_dpd
FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2` AS t
CROSS JOIN MaxDate AS md
WHERE
  t.BUSINESS_DATE = md.max_business_date
  AND t.SOM_DPD = 0
  AND UPPER(t.STATE) = 'ASSAM'
  AND t.SOM_NPASTAGEID = 'REGULAR'
  AND t.SOM_POS > 0
GROUP BY
  t.STATE
LIMIT 10",
424eb3,1,2025-11-26 15:28:29.306066+00:00,5,What is the rejection based on CIBIL score below 650 in the last 3 months? Month on month?,Sourcing,COLLECTIONS,ERROR,SQL Error: 400 Syntax error: Unexpected i,0.37,0,0,"I am sorry, but I cannot fulfill this request. The provided table schema for `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2` does not contain any columns related to ""CIBIL score"" or ""rejection"" metrics.","400 Syntax error: Unexpected identifier ""I"" at [1:1]; reason: invalidQuery, location: query, message: Syntax error: Unexpected identifier ""I"" at [1:1]

Location: US
Job ID: 81074c53-9b81-4ab9-bcf6-da87f32ff4cf
"
424eb3,1,2025-11-26 15:28:54.551171+00:00,6,What is the rejection rate for applications where CIBIL score is between 300-650 in October 2025? Also list out the reason of rejections for these cases.,Sourcing,SOURCING,FAIL,"LLM: The candidate data provides an incorrect rejection rate (96.97% vs. the reference 95.42%), which is outside the 1% tolerance. More importantly, it completely fails to provide the list of rejection reasons as requested. Instead, it hallucinates a breakdown by an irrelevant dimension ('final_applicant_scorecard_model_bre'). [Hallucination]",0.87,0,0,"SELECT
  t2.cibil_score_range_group AS CIBIL_Score_Range,
  t1.CIBIL_SCORE_BAND,
  t1.FINAL_APPLICANT_SCORECARD_MODEL_BRE,
  COUNT(*) AS total_applications,
  COUNT(CASE WHEN t1.BRE_Sanction_Result__c IN ('REJECT', 'Reject') THEN 1 END) AS rejected_applications,
  ROUND(
    SAFE_DIVIDE(
      COUNT(CASE WHEN t1.BRE_Sanction_Result__c IN ('REJECT', 'Reject') THEN 1 END),
      COUNT(*)
    ) * 100,
    2
  ) AS rejection_rate_pct
FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.Sourcing_Data_11_Nov_25` AS t1
CROSS JOIN UNNEST(ARRAY<STRUCT<min_cibil INT64, max_cibil INT64, cibil_score_range_group STRING>>[(300, 650, '300-650')]) AS t2
WHERE
  DATE(t1.LastModifiedDate) >= '2025-10-01'
  AND DATE(t1.LastModifiedDate) < '2025-11-01'
  AND SAFE_CAST(t1.CIBIL_SCORE AS INT64) BETWEEN t2.min_cibil AND t2.max_cibil
GROUP BY
  CIBIL_Score_Range,
  t1.CIBIL_SCORE_BAND,
  t1.FINAL_APPLICANT_SCORECARD_MODEL_BRE
ORDER BY
  t2.cibil_score_range_group,
  t1.CIBIL_SCORE_BAND,
  t1.FINAL_APPLICANT_SCORECARD_MODEL_BRE",
424eb3,1,2025-11-26 15:29:09.981156+00:00,7,what is the current 1-30 delinquency percentage of the portfolio in comparison with last year?,Collections,COLLECTIONS,PASS,Numeric Exact Match,0.88,0,0,"WITH MaxBusinessDate AS (
  SELECT
    MAX(BUSINESS_DATE) AS max_dt
  FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
), FilteredData AS (
  SELECT
    t.BUSINESS_DATE,
    t.AGREEMENTNO,
    t.DPD_BUCKET
  FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2` AS t
  JOIN MaxBusinessDate AS m
    ON t.BUSINESS_DATE IN (m.max_dt, DATE_SUB(m.max_dt, INTERVAL '1' YEAR))
  WHERE
    t.SOM_NPASTAGEID = 'REGULAR' AND t.SOM_POS > 0
)
SELECT
  ROUND(
    SAFE_DIVIDE(
      COUNT(
        DISTINCT CASE WHEN fd.BUSINESS_DATE = m.max_dt AND fd.DPD_BUCKET = 1 THEN fd.AGREEMENTNO END
      ),
      COUNT(DISTINCT CASE WHEN fd.BUSINESS_DATE = m.max_dt THEN fd.AGREEMENTNO END)
    ) * 100,
    2
  ) AS current_1_30_delinquency_percentage,
  ROUND(
    SAFE_DIVIDE(
      COUNT(
        DISTINCT CASE
          WHEN fd.BUSINESS_DATE = DATE_SUB(m.max_dt, INTERVAL '1' YEAR) AND fd.DPD_BUCKET = 1
          THEN fd.AGREEMENTNO
        END
      ),
      COUNT(
        DISTINCT CASE
          WHEN fd.BUSINESS_DATE = DATE_SUB(m.max_dt, INTERVAL '1' YEAR)
          THEN fd.AGREEMENTNO
        END
      )
    ) * 100,
    2
  ) AS last_year_1_30_delinquency_percentage
FROM FilteredData AS fd
CROSS JOIN MaxBusinessDate AS m",
424eb3,1,2025-11-26 15:29:16.815014+00:00,8,How many cases who were at 0 delinquency last year and now have slipped to 90+ ?,Collections,COLLECTIONS,PASS,Numeric Exact Match,0.73,0,0,"WITH MaxBusinessDate AS (
  SELECT
    MAX(BUSINESS_DATE) AS max_dt
  FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
)
SELECT
  COUNT(DISTINCT AGREEMENTNO) AS cases_slipped_from_0ly_to_90plus_current
FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
WHERE
  BUSINESS_DATE = (
    SELECT
      max_dt
    FROM MaxBusinessDate
  )
  AND Delinquency_0LY_90PLUSCurrent_SLIPPAGE_Flag = 1
  AND SOM_POS > 0",
424eb3,1,2025-11-26 15:29:32.741222+00:00,9,Which state has the highest normalization rate for the current month in DPD BKT 1?,Collections,COLLECTIONS,PASS,"LLM: The candidate data is a perfect match to the reference data. All rows, values, and the implicit ranking are identical. The difference in the column header for the rate ('normalization_rate' vs 'normalization_rate_percentage') is ignored as per the evaluation criteria.",0.76,0,0,"WITH MaxBusinessDate AS (
  SELECT
    MAX(BUSINESS_DATE) AS max_dt
  FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
)
SELECT
  t.STATE,
  COUNT(DISTINCT CASE WHEN t.DPD_BUCKET = 0 THEN t.AGREEMENTNO END) AS normalization_count,
  COUNT(DISTINCT t.AGREEMENTNO) AS total_bucket_1_count,
  ROUND(
    SAFE_DIVIDE(
      COUNT(DISTINCT CASE WHEN t.DPD_BUCKET = 0 THEN t.AGREEMENTNO END),
      COUNT(DISTINCT t.AGREEMENTNO)
    ) * 100,
    2
  ) AS normalization_rate_percentage
FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2` AS t
JOIN MaxBusinessDate AS m
  ON t.BUSINESS_DATE = m.max_dt
WHERE
  t.SOM_DPD_BUCKET = 1 AND t.SOM_NPASTAGEID = 'REGULAR' AND t.SOM_POS > 0
GROUP BY
  t.STATE
ORDER BY
  normalization_rate_percentage DESC
LIMIT 5",
424eb3,1,2025-11-26 15:29:51.532751+00:00,10,Which state has the highest roll forward rate for the current month in DPD BKT 2?,Collections,COLLECTIONS,PASS,"LLM: The candidate data correctly identifies the top 5 states with the highest roll forward rates, and all corresponding data values match the reference data exactly. The difference in the third column's header is ignored as per the evaluation criteria.",0.75,0,0,"WITH MaxBusinessDate AS (
  SELECT
    MAX(BUSINESS_DATE) AS max_dt
  FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
)
SELECT
  UPPER(t1.STATE) AS state,
  COUNT(
    DISTINCT CASE WHEN (
      t1.DPD_BUCKET - t1.SOM_DPD_BUCKET
    ) > 0 THEN t1.AGREEMENTNO END
  ) AS roll_forward_count,
  COUNT(DISTINCT t1.AGREEMENTNO) AS total_bucket_2_accounts,
  ROUND(
    SAFE_DIVIDE(
      COUNT(
        DISTINCT CASE WHEN (
          t1.DPD_BUCKET - t1.SOM_DPD_BUCKET
        ) > 0 THEN t1.AGREEMENTNO END
      ),
      COUNT(DISTINCT t1.AGREEMENTNO)
    ) * 100,
    2
  ) AS roll_forward_rate
FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2` AS t1
CROSS JOIN MaxBusinessDate AS m
WHERE
  t1.BUSINESS_DATE = m.max_dt
  AND t1.SOM_DPD_BUCKET = 2
  AND t1.SOM_NPASTAGEID = 'REGULAR'
  AND t1.SOM_POS > 0
GROUP BY
  1
ORDER BY
  roll_forward_rate DESC
LIMIT 5",
