run_id,batch_number,timestamp,question_id,question,expected_domain,actual_domain,status,reason,latency_seconds,input_tokens,output_tokens,generated_sql,thought_process,column_selected,error_message
c69fc0,1,2025-12-01 09:05:06.459538+00:00,1,What is GNS4 trend for last 4 months?,Collections,COLLECTIONS,PASS,LLM: The candidate data correctly provides the GNS4 percentage trend. All months and corresponding values match the reference data within the allowed 1% numeric tolerance. The presence of an extra column and different row sorting are acceptable.,1.22,0,0,"WITH MaxBusinessDate AS (
  SELECT
    MAX(BUSINESS_DATE) AS max_date
  FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
)
SELECT
  DATE_TRUNC(t1.BUSINESS_DATE, MONTH) AS month,
  COUNT(DISTINCT CASE WHEN t1.Bounce_Flag = 'Y' THEN t1.AGREEMENTNO END) AS gns4_count,
  ROUND(
    SAFE_DIVIDE(
      COUNT(DISTINCT CASE WHEN t1.Bounce_Flag = 'Y' THEN t1.AGREEMENTNO END),
      COUNT(DISTINCT t1.AGREEMENTNO)
    ) * 100,
    2
  ) AS gns4_percentage
FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2` AS t1
CROSS JOIN MaxBusinessDate AS mbd
WHERE
  t1.BUSINESS_DATE >= DATE_SUB(mbd.max_date, INTERVAL '4' MONTH)
  AND t1.MOB_ON_INSTL_START_DATE = 4
  AND t1.SOM_NPASTAGEID = 'REGULAR'
  AND t1.SOM_POS > 0
GROUP BY
  1
ORDER BY
  1 DESC",Metric: GNS4 Rate (Bounce='Y' at MOB 4). Scenario 1 (Bounce Analysis). Logic: Filter MOB_ON_INSTL_START_DATE = 4 AND Bounce_Flag = 'Y'. Exclusions: SOM_NPASTAGEID = 'REGULAR' and SOM_POS > 0. Time: Last 4 months relative to MAX date.,"['GNS4: Bounce_Flag, MOB_ON_INSTL_START_DATE', 'Time: BUSINESS_DATE']",
c69fc0,1,2025-12-01 09:05:27.558401+00:00,2,Give me top 10 dealer names that have the highest NNS3 percentage and cases are more than 30 per dealer? Show the number of cases.,Collections,COLLECTIONS,PASS,"LLM: The candidate data correctly identified the top 10 dealers, their total cases, and NNS3 percentages, matching the reference data. The sort order is correct based on the primary criterion (NNS3 percentage).",0.77,0,0,"WITH MaxBusinessDate AS (
  SELECT
    MAX(BUSINESS_DATE) AS max_date
  FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
)
SELECT
  t1.SUPPLIERNAME,
  COUNT(DISTINCT t1.AGREEMENTNO) AS total_cases,
  COUNT(DISTINCT CASE WHEN t1.NNS3 = 'Y' THEN t1.AGREEMENTNO END) AS nns3_cases,
  ROUND(
    SAFE_DIVIDE(
      COUNT(DISTINCT CASE WHEN t1.NNS3 = 'Y' THEN t1.AGREEMENTNO END),
      COUNT(DISTINCT t1.AGREEMENTNO)
    ) * 100,
    2
  ) AS nns3_percentage
FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2` AS t1
CROSS JOIN MaxBusinessDate AS mbd
WHERE
  t1.BUSINESS_DATE = mbd.max_date
  AND t1.MOB_ON_INSTL_START_DATE = 3
  AND t1.POS > 0
  AND t1.NPASTAGEID = 'REGULAR'
GROUP BY
  t1.SUPPLIERNAME
HAVING
  COUNT(DISTINCT t1.AGREEMENTNO) > 30
ORDER BY
  nns3_percentage DESC
LIMIT 10","User asks for NNS3 percentage and cases per dealer. NNS3 is a specific flag that requires filtering for MOB_ON_INSTL_START_DATE = 3. This falls under Scenario 3 (Standard Portfolio Performance) for general filtering (POS > 0 AND NPASTAGEID = 'REGULAR'). The request is for the current snapshot (MAX BUSINESS_DATE). Group by SUPPLIERNAME, filter for dealers with more than 30 cases, and order by NNS3 percentage.","['Dealer Name: SUPPLIERNAME', 'NNS3 Percentage: NNS3, MOB_ON_INSTL_START_DATE', 'Number of Cases: AGREEMENTNO']",
c69fc0,1,2025-12-01 09:05:51.758939+00:00,3,Show me the top 10 dealers where banking model has highest no hit percentage? application count should be greater than 30 and what is the approval percentage?,Sourcing,SOURCING,PASS,"LLM: The candidate data correctly identifies the same set of top 10 dealers and all their associated metrics as the reference data. The sort order for dealers with tied 'no_banking_hit_percentage' values is different, but this is a minor discrepancy as the core data is accurate.",0.73,0,0,"SELECT
  Dealer_Name_Supplier__c,
  COUNT(*) AS total_applications,
  COUNT(
    CASE
      WHEN NOT (
        FINAL_APPLICANT_SCORECARD_MODEL_BRE LIKE '%_BKH%'
        OR FINAL_APPLICANT_SCORECARD_MODEL_BRE LIKE '%_BKR%'
      )
      THEN 1
    END
  ) AS no_banking_hits,
  ROUND(
    SAFE_DIVIDE(
      COUNT(
        CASE
          WHEN NOT (
            FINAL_APPLICANT_SCORECARD_MODEL_BRE LIKE '%_BKH%'
            OR FINAL_APPLICANT_SCORECARD_MODEL_BRE LIKE '%_BKR%'
          )
          THEN 1
        END
      ),
      COUNT(*)
    ) * 100,
    2
  ) AS no_banking_hit_percentage,
  COUNT(CASE WHEN BRE_Sanction_Result__c IN ('ACCEPT', 'Sanction') THEN 1 END) AS approved_applications,
  ROUND(
    SAFE_DIVIDE(
      COUNT(CASE WHEN BRE_Sanction_Result__c IN ('ACCEPT', 'Sanction') THEN 1 END),
      COUNT(*)
    ) * 100,
    2
  ) AS approval_percentage
FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.Sourcing_Data_11_Nov_25`
GROUP BY
  Dealer_Name_Supplier__c
HAVING
  COUNT(*) > 30
ORDER BY
  no_banking_hit_percentage DESC
LIMIT 10",Generated via SourcingAgent,[],
c69fc0,1,2025-12-01 09:06:10.026323+00:00,4,SHow me the bounce rate on 0 dpd for Assam?,Collections,COLLECTIONS,PASS,LLM: The candidate data perfectly matches the reference data. All values for Assam are identical.,0.93,0,0,"WITH DateCTE AS (
  SELECT
    MAX(BUSINESS_DATE) AS max_date
  FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
)
SELECT
  UPPER(STATE) AS state_name,
  COUNT(DISTINCT CASE WHEN Bounce_Flag = 'Y' THEN AGREEMENTNO END) AS bounced_0_dpd_accounts,
  COUNT(DISTINCT AGREEMENTNO) AS total_0_dpd_accounts,
  ROUND(
    SAFE_DIVIDE(
      COUNT(DISTINCT CASE WHEN Bounce_Flag = 'Y' THEN AGREEMENTNO END),
      COUNT(DISTINCT AGREEMENTNO)
    ) * 100,
    2
  ) AS bounce_rate_0_dpd_percentage
FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
WHERE
  BUSINESS_DATE = (
    SELECT
      max_date
    FROM DateCTE
  )
  AND UPPER(STATE) = 'ASSAM'
  AND SOM_DPD = 0
  AND SOM_POS > 0
  AND SOM_NPASTAGEID = 'REGULAR'
GROUP BY
  state_name
LIMIT 10",User asks for 'bounce rate on 0 dpd' for a specific state (Assam). This falls under Scenario 1 (Bounce Analysis) because 'bounce' is mentioned. The population is further restricted to '0 DPD' (SOM_DPD = 0). The time frame is the latest available business date. The calculation involves counting bounced accounts within the 0 DPD population and dividing by the total 0 DPD accounts.,"['Bounce Rate: Bounce_Flag', '0 DPD: SOM_DPD', 'State: STATE', 'Agreement Number: AGREEMENTNO', 'Business Date: BUSINESS_DATE']",
c69fc0,1,2025-12-01 09:06:28.339822+00:00,5,What is the rejection based on CIBIL score below 650 in the last 3 months? Month on month?,Sourcing,SOURCING,PASS,"LLM: The candidate data is a superset of the reference data. It contains all the correct rows for the requested period and an additional, older month, which is acceptable under the 'Superset Data' rule.",1.33,0,0,"SELECT
  FORMAT_DATE('%Y-%m', DATE_TRUNC(DATE(LastModifiedDate), MONTH)) AS month,
  COUNT(*) AS total_applications_below_650_cibil,
  COUNT(CASE WHEN BRE_Sanction_Result__c IN ('REJECT', 'Reject') THEN 1 END) AS rejected_applications_below_650_cibil,
  ROUND(
    SAFE_DIVIDE(
      COUNT(CASE WHEN BRE_Sanction_Result__c IN ('REJECT', 'Reject') THEN 1 END),
      COUNT(*)
    ) * 100,
    2
  ) AS rejection_rate_pct
FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.Sourcing_Data_11_Nov_25`
WHERE
  DATE(LastModifiedDate) >= DATE_SUB(DATE_TRUNC(DATE_SUB(CURRENT_DATE, INTERVAL '1' MONTH), MONTH), INTERVAL '3' MONTH)
  AND DATE(LastModifiedDate) <= LAST_DAY(DATE_SUB(CURRENT_DATE, INTERVAL '1' MONTH))
  AND SAFE_CAST(CIBIL_SCORE AS INT64) < 650
GROUP BY
  1
ORDER BY
  1",Generated via SourcingAgent,[],
c69fc0,1,2025-12-01 09:06:52.436810+00:00,6,What is the rejection rate for applications where CIBIL score is between 300-650 in October 2025? Also list out the reason of rejections for these cases.,Sourcing,SOURCING,PASS,"LLM: The candidate data correctly identifies the total number of rejected applications (5265) and accurately lists all rejection reasons and their respective counts as found in the reference data. While the overall rejection rate is not presented as a single summary figure, the underlying data is correct, and a calculated rate from the candidate's totals (95.62%) is within the 1% tolerance of the reference rate (95.42%). The additional rows with zero rejections are acceptable under the superset data rule.",0.81,0,0,"SELECT
  COALESCE(t1.SCORECARD_MODEL_DESCRIPTION_BRE__c, 'Unknown/Not Applicable') AS rejection_reason_description,
  COUNT(*) AS total_applications_in_segment,
  COUNT(CASE WHEN t1.BRE_Sanction_Result__c IN ('REJECT', 'Reject') THEN 1 END) AS rejected_applications_count,
  ROUND(
    SAFE_DIVIDE(
      COUNT(CASE WHEN t1.BRE_Sanction_Result__c IN ('REJECT', 'Reject') THEN 1 END),
      COUNT(*)
    ) * 100,
    2
  ) AS rejection_rate_pct
FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.Sourcing_Data_11_Nov_25` AS t1
WHERE
  DATE(t1.LastModifiedDate) >= '2025-10-01'
  AND DATE(t1.LastModifiedDate) < '2025-11-01'
  AND SAFE_CAST(t1.CIBIL_SCORE AS INT64) BETWEEN 300 AND 650
GROUP BY
  1
ORDER BY
  rejected_applications_count DESC",Generated via SourcingAgent,[],
c69fc0,1,2025-12-01 09:07:11.496837+00:00,7,what is the current 1-30 delinquency percentage of the portfolio in comparison with last year?,Collections,COLLECTIONS,PASS,"LLM: The candidate data correctly identifies the delinquency percentages for the current and last year, with all numeric values falling within the 1% tolerance threshold.",1.03,0,0,"WITH MaxBusinessDate AS (
  SELECT
    MAX(BUSINESS_DATE) AS max_date
  FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
)
SELECT
  'Current Year' AS period,
  ROUND(
    SAFE_DIVIDE(
      COUNT(DISTINCT CASE WHEN DPD_BUCKET = 1 THEN AGREEMENTNO END),
      COUNT(DISTINCT AGREEMENTNO)
    ) * 100,
    2
  ) AS delinquency_1_30_percentage
FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
WHERE
  BUSINESS_DATE = (
    SELECT
      max_date
    FROM MaxBusinessDate
  )
  AND POS > 0
  AND NPASTAGEID = 'REGULAR'
UNION ALL
SELECT
  'Last Year' AS period,
  ROUND(
    SAFE_DIVIDE(
      COUNT(DISTINCT CASE WHEN DPD_BUCKET = 1 THEN AGREEMENTNO END),
      COUNT(DISTINCT AGREEMENTNO)
    ) * 100,
    2
  ) AS delinquency_1_30_percentage
FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
WHERE
  BUSINESS_DATE = DATE_SUB((
    SELECT
      max_date
    FROM MaxBusinessDate
  ), INTERVAL '1' YEAR)
  AND POS > 0
  AND NPASTAGEID = 'REGULAR'","Metric: 1-30 delinquency percentage (DPD_BUCKET = 1). Scenario 3 (Standard Portfolio Performance) applies, so filter by POS > 0 AND NPASTAGEID = 'REGULAR'. Time: Compare current month (MAX(BUSINESS_DATE)) with the same month last year (DATE_SUB(MAX(BUSINESS_DATE), INTERVAL 1 YEAR)).","['1-30 delinquency: DPD_BUCKET', 'Current Period: BUSINESS_DATE', 'Last Year: BUSINESS_DATE']",
c69fc0,1,2025-12-01 09:07:24.555323+00:00,8,How many cases who were at 0 delinquency last year and now have slipped to 90+ ?,Collections,COLLECTIONS,FAIL,"LLM: The candidate value 54337 differs from the reference value 58033 by approximately 6.37%, which is outside the allowed 1% numeric tolerance. [Data_Mismatch]",0.76,0,0,"SELECT
  SUM(Delinquency_0LY_90PLUSCurrent_SLIPPAGE_Flag) AS cases_slipped_0ly_to_90plus_current
FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
WHERE
  BUSINESS_DATE = (
    SELECT
      MAX(BUSINESS_DATE)
    FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
  )
  AND POS > 0","The user is asking for the count of accounts that slipped from 0 DPD last year to 90+ DPD currently. This directly corresponds to the 'Delinquency_0LY_90PLUSCurrent_SLIPPAGE_Flag'. This is a risk-related metric, so it falls under Scenario 2 (Write-off & Risk Analysis). The filter for this scenario is POS > 0. No specific time period was mentioned, so the query will default to the latest BUSINESS_DATE.",['Slippage from 0LY to 90+ Current: Delinquency_0LY_90PLUSCurrent_SLIPPAGE_Flag'],
c69fc0,1,2025-12-01 09:07:47.143214+00:00,9,Which state has the highest normalization rate for the current month in DPD BKT 1?,Collections,COLLECTIONS,FAIL,"LLM: The candidate correctly identified the single state with the highest rate, but it failed to provide the full ranked list shown in the reference data. The result is incomplete as it only contains 1 out of the 5 expected rows. [Data_Mismatch]",1.0,0,0,"WITH MaxBusinessDate AS (
  SELECT
    MAX(BUSINESS_DATE) AS max_date
  FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
)
SELECT
  STATE,
  COUNT(DISTINCT CASE WHEN DPD_BUCKET < SOM_DPD_BUCKET THEN AGREEMENTNO END) AS normalized_accounts_count,
  COUNT(DISTINCT AGREEMENTNO) AS total_dpd_bkt_1_accounts,
  ROUND(
    SAFE_DIVIDE(
      COUNT(DISTINCT CASE WHEN DPD_BUCKET < SOM_DPD_BUCKET THEN AGREEMENTNO END),
      COUNT(DISTINCT AGREEMENTNO)
    ) * 100,
    2
  ) AS normalization_rate_percentage
FROM `analytics-datapipeline-prod.aiml_cj_nostd_mart.TW_COLL_MART_HIST_v2`
WHERE
  BUSINESS_DATE = (
    SELECT
      max_date
    FROM MaxBusinessDate
  )
  AND SOM_DPD_BUCKET = 1
  AND SOM_POS > 0
  AND SOM_NPASTAGEID = 'REGULAR'
GROUP BY
  STATE
ORDER BY
  normalization_rate_percentage DESC
LIMIT 1","User asks for 'normalization rate' for the 'current month' in 'DPD BKT 1' by 'state'. Normalization implies DPD_BUCKET < SOM_DPD_BUCKET. The population is defined by SOM_DPD_BUCKET = 1. This falls under Scenario 3 (Standard Portfolio Performance) but uses start-of-month DPD bucket, so the filters for SOM_POS > 0 and SOM_NPASTAGEID = 'REGULAR' are applied to define the starting cohort. Time filter is for the latest BUSINESS_DATE.","['Normalization Rate: DPD_BUCKET, SOM_DPD_BUCKET', 'DPD BKT 1: SOM_DPD_BUCKET', 'State: STATE', 'Current Month: BUSINESS_DATE']",
c69fc0,1,2025-12-01 09:07:53.040000+00:00,10,Which state has the highest roll forward rate for the current month in DPD BKT 2?,Collections,COLLECTIONS,ERROR,SQL Error: No SQL Generated,0.0,0,0,,,[],No SQL Generated
